panel_id,image_path,stress,strain,yield_strength,label
9,9,290,0.13,290,Pass
131,131,289,0.18,278,Pass
97,97,238,0.22,234,Pass
73,73,233,0.15,287,Pass
66,66,156,0.4,203,Broken
49,49,249,0.24,276,Pass
86,86,178,0.37,209,Broken
64,64,274,0.25,256,Pass
10,10,274,0.24,275,Pass
13,13,184,0.43,209,Broken
36,36,167,0.41,192,Broken
29,29,162,0.31,199,Broken
143,143,197,0.31,193,Broken
135,135,302,0.24,214,Pass
105,105,272,0.17,277,Pass
21,21,252,0.2,240,Pass
52,52,199,0.44,182,Broken
96,96,163,0.39,207,Broken
59,59,260,0.24,214,Pass
98,98,270,0.18,230,Pass
42,42,154,0.32,186,Broken
90,90,189,0.31,189,Broken
95,95,256,0.12,291,Pass
137,137,173,0.32,189,Broken
27,27,184,0.39,190,Broken
144,144,272,0.14,236,Pass
142,142,155,0.41,195,Broken
51,51,236,0.16,275,Pass
1,1,192,0.4,201,Broken
119,119,302,0.21,246,Pass
123,123,308,0.21,213,Pass
101,101,184,0.41,193,Broken
110,110,298,0.2,278,Pass
106,106,266,0.18,264,Pass
22,22,290,0.25,240,Pass
99,99,178,0.37,183,Broken
37,37,190,0.45,204,Broken
62,62,165,0.32,199,Broken
1,1,224,0.13,269,Pass
87,87,273,0.11,241,Pass
53,53,274,0.13,267,Pass
93,93,227,0.18,214,Pass
12,12,177,0.35,183,Broken
147,147,318,0.2,284,Pass
118,118,308,0.17,262,Pass
28,28,181,0.45,182,Broken
70,70,273,0.21,227,Pass
5,5,159,0.37,192,Broken
123,123,181,0.41,189,Broken
33,33,188,0.42,189,Broken
55,55,275,0.12,255,Pass
13,13,304,0.24,234,Pass
60,60,287,0.14,278,Pass
136,136,315,0.19,279,Pass
139,139,167,0.42,184,Broken
63,63,164,0.34,190,Broken
136,136,185,0.31,207,Broken
129,129,157,0.43,194,Broken
141,141,276,0.16,278,Pass
9,9,189,0.32,188,Broken
71,71,186,0.35,193,Broken
115,115,313,0.14,229,Pass
65,65,186,0.4,185,Broken
45,45,168,0.36,205,Broken
130,130,247,0.14,223,Pass
7,7,241,0.24,217,Pass
41,41,190,0.38,195,Broken
124,124,190,0.33,191,Broken
126,126,241,0.13,264,Pass
67,67,303,0.16,233,Pass
4,4,241,0.19,247,Pass
24,24,170,0.41,196,Broken
112,112,277,0.25,253,Pass
111,111,194,0.39,181,Broken
82,82,185,0.34,209,Broken
58,58,266,0.14,292,Pass
63,63,249,0.21,246,Pass
40,40,184,0.42,190,Broken
91,91,256,0.18,219,Pass
142,142,296,0.19,228,Pass
109,109,298,0.19,266,Pass
50,50,275,0.12,279,Pass
15,15,188,0.4,186,Broken
48,48,171,0.33,181,Broken
95,95,191,0.37,209,Broken
114,114,271,0.12,226,Pass
78,78,290,0.2,241,Pass
124,124,310,0.23,234,Pass
52,52,304,0.16,228,Pass
12,12,256,0.17,223,Pass
44,44,170,0.35,195,Broken
68,68,294,0.15,245,Pass
146,146,187,0.3,187,Broken
41,41,312,0.18,233,Pass
71,71,247,0.18,279,Pass
102,102,239,0.13,257,Pass
4,4,160,0.36,190,Broken
106,106,189,0.36,189,Broken
54,54,198,0.33,187,Broken
134,134,161,0.35,196,Broken
2,2,190,0.43,182,Broken
132,132,191,0.43,196,Broken
104,104,183,0.44,209,Broken
50,50,167,0.39,196,Broken
81,81,181,0.44,206,Broken
56,56,284,0.15,298,Pass
35,35,167,0.31,208,Broken
92,92,172,0.42,209,Broken
53,53,195,0.39,207,Broken
92,92,281,0.12,223,Pass
14,14,169,0.41,197,Broken
89,89,189,0.42,208,Broken
17,17,245,0.24,298,Pass
145,145,300,0.15,236,Pass
135,135,173,0.37,181,Broken
138,138,287,0.13,238,Pass
94,94,317,0.23,263,Pass
55,55,166,0.39,193,Broken
51,51,156,0.32,195,Broken
25,25,248,0.23,288,Pass
40,40,288,0.24,243,Pass
149,149,284,0.2,278,Pass
38,38,267,0.14,286,Pass
20,20,267,0.15,279,Pass
59,59,164,0.32,183,Broken
49,49,177,0.31,189,Broken
86,86,308,0.21,277,Pass
103,103,223,0.25,218,Pass
22,22,192,0.33,186,Broken
11,11,230,0.19,268,Pass
127,127,233,0.14,225,Pass
42,42,314,0.13,236,Pass
108,108,279,0.24,261,Pass
150,150,180,0.33,190,Broken
131,131,189,0.34,186,Broken
2,2,309,0.24,238,Pass
100,100,166,0.36,196,Broken
88,88,173,0.38,183,Broken
65,65,278,0.24,245,Pass
122,122,192,0.34,180,Broken
150,150,291,0.23,238,Pass
21,21,164,0.41,189,Broken
39,39,252,0.1,284,Pass
72,72,165,0.39,186,Broken
107,107,174,0.42,190,Broken
121,121,290,0.13,241,Pass
103,103,179,0.4,184,Broken
